Sp.Scien.jetz;Sp.Eng.jetz;Sp.Scien.hbw;Sp.Eng.hbw;Match_jetz_birdlife;Order;strategy_3;distance_4;distance_quanti_RES0;distance_quanti_ALL
Cacatua_sulphurea;Yellow-crested-Cockatoo;Cacatua_sulphurea;Yellow-crested-Cockatoo;Cacatua_sulphurea;PSITTACIFORMES;resident;resident;0;222,4832992
Cacatua_tenuirostris;Long-billed-Corella;Cacatua_tenuirostris;Long-billed-Corella;Cacatua_tenuirostris;PSITTACIFORMES;resident;resident;0;166,4076944
Cacicus_cela;Yellow-rumped-Cacique;Cacicus_cela;Yellow-rumped-Cacique;Cacicus_cela;PASSERIFORMES;resident;resident;0;754,6623932
Cacicus_chrysonotus;Mountain-Cacique;Cacicus_chrysonotus;Southern-Mountain-Cacique;Cacicus_chrysonotus;PASSERIFORMES;resident;resident;0;296,7512398
Cacicus_chrysopterus;Golden-winged-Cacique;Cacicus_chrysopterus;Golden-winged-Cacique;Cacicus_chrysopterus;PASSERIFORMES;resident;resident;0;354,0133207
Cacicus_haemorrhous;Red-rumped-Cacique;Cacicus_haemorrhous;Red-rumped-Cacique;Cacicus_haemorrhous;PASSERIFORMES;resident;resident;0;752,6776494
Cacicus_koepckeae;Selva-Cacique;Cacicus_koepckeae;Selva-Cacique;Cacicus_koepckeae;PASSERIFORMES;resident;resident;0;18,16261502
Cacicus_leucoramphus;Northern-Mountain-Cacique;Cacicus_leucoramphus;Northern-Mountain-Cacique;NA1;PASSERIFORMES;resident;resident;NA;NA
Cacicus_melanicterus;Yellow-winged-Cacique;Cassiculus_melanicterus;Yellow-winged-Cacique;Cacicus_melanicterus;PASSERIFORMES;resident;resident;0;197,1838379
Cacicus_microrhynchus;Scarlet-rumped-Cacique;Cacicus_microrhynchus;Scarlet-rumped-Cacique;NA1;PASSERIFORMES;resident;resident;NA;NA
Cacicus_sclateri;Ecuadorian-Cacique;Cacicus_sclateri;Ecuadorian-Cacique;Cacicus_sclateri;PASSERIFORMES;resident;resident;0;144,2216958
Cacicus_solitarius;Solitary-Black-Cacique;Procacicus_solitarius;Solitary-Cacique;Cacicus_solitarius;PASSERIFORMES;resident;resident;0;768,6476472
Cacicus_uropygialis;Scarlet-rumped-Cacique;Cacicus_uropygialis;Subtropical-Cacique;Cacicus_uropygialis;PASSERIFORMES;resident;resident;0;321,954261
Cacomantis_castaneiventris;Chestnut-breasted-Cuckoo;Cacomantis_castaneiventris;Chestnut-breasted-Cuckoo;Cacomantis_castaneiventris;CUCULIFORMES;resident;resident;0;281,6787806
Cacomantis_flabelliformis;Fan-tailed-Cuckoo;Cacomantis_flabelliformis;Fan-tailed-Cuckoo;Cacomantis_flabelliformis;CUCULIFORMES;resident;resident;0;573,7500696
Cacomantis_heinrichi;Moluccan-Cuckoo;Cacomantis_aeruginosus;Moluccan-Cuckoo;Cacomantis_aeruginosus;CUCULIFORMES;resident;resident;0;93,99425155
Cacomantis_merulinus;Plaintive-Cuckoo;Cacomantis_merulinus;Plaintive-Cuckoo;Cacomantis_merulinus;CUCULIFORMES;partial_mig;variable;984,1380952;984,1380952
Cacomantis_passerinus;Grey-bellied-Cuckoo;Cacomantis_passerinus;Grey-bellied-Cuckoo;Cacomantis_passerinus;CUCULIFORMES;partial_mig;short;776,8581026;776,8581026
Cacomantis_sepulcralis;Rusty-breasted-Cuckoo;Cacomantis_variolosus;Brush-Cuckoo;Cacomantis_variolosus;CUCULIFORMES;resident;resident;0;1106,542991
Cacomantis_sonneratii;Banded-Bay-Cuckoo;Cacomantis_sonneratii;Banded-Bay-Cuckoo;Cacomantis_sonneratii;CUCULIFORMES;resident;resident;0;798,0199389
Cairina_moschata;Muscovy-Duck;Cairina_moschata;Muscovy-Duck;Cairina_moschata;ANSERIFORMES;resident;resident;0;1000,678791
Cairina_scutulata;White-winged-Duck;Asarcornis_scutulata;White-winged-Duck;Asarcornis_scutulata;ANSERIFORMES;resident;resident;0;372,6889772
Calamanthus_campestris;Rufous-Fieldwren;Calamanthus_campestris;Rufous-Fieldwren;Calamanthus_campestris;PASSERIFORMES;resident;resident;0;433,8938686
Calamanthus_fuliginosus;Striated-Fieldwren;Calamanthus_fuliginosus;Striated-Fieldwren;Calamanthus_fuliginosus;PASSERIFORMES;resident;resident;0;157,0707344
Calamospiza_melanocorys;Lark-Bunting;Calamospiza_melanocorys;Lark-Bunting;Calamospiza_melanocorys;PASSERIFORMES;strict_mig;short;1288,060157;1288,060157
Calandrella_acutirostris;Humes-Lark;Calandrella_acutirostris;Humes-Lark;Calandrella_acutirostris;PASSERIFORMES;strict_mig;short;833,4477448;833,4477448
Calandrella_brachydactyla;Greater-Short-toed-Lark;Calandrella_brachydactyla;Greater-Short-toed-Lark;Calandrella_brachydactyla;PASSERIFORMES;partial_mig;variable;2371,248889;2371,248889
Calandrella_cheleensis;Asian-Short-toed-Lark;Calandrella_rufescens;Lesser-Short-toed-Lark;Calandrella_cheleensis;PASSERIFORMES;partial_mig;short;1033,678134;1033,678134
Calandrella_cinerea;Red-capped-Lark;Calandrella_cinerea;Red-capped-Lark;Calandrella_cinerea;PASSERIFORMES;resident;resident;0;666,2839559
Calandrella_raytal;Indian-Short-toed-Lark;Calandrella_raytal;Sand-Lark;Calandrella_raytal;PASSERIFORMES;resident;resident;0;368,2328641
Calandrella_somalica;Rufous-Short-toed-Lark;Calandrella_somalica;Somali-Short-toed-Lark;Calandrella_somalica;PASSERIFORMES;resident;resident;0;215,4524467
